config_id,actuator_kp,joint_damping,hold_steps,duration_s,mean_error_m,max_error_m,final_error_m
0.000000000000000000e+00,1.800000000000000000e+03,1.000000000000000000e+00,6.000000000000000000e+00,8.400000000000006350e-01,7.185003064713464671e-02,1.098844383584149931e-01,1.089272080886457550e-01
1.000000000000000000e+00,1.800000000000000000e+03,1.000000000000000000e+00,1.200000000000000000e+01,1.680000000000001270e+00,4.257696320214881397e-02,6.629986099418985757e-02,6.629986099418985757e-02
2.000000000000000000e+00,1.800000000000000000e+03,1.000000000000000000e+00,2.400000000000000000e+01,3.359999999999851550e+00,2.470736541065904346e-02,3.628291284223590651e-02,3.599025555985076175e-02
3.000000000000000000e+00,4.200000000000000000e+03,1.000000000000000000e+00,6.000000000000000000e+00,8.400000000000006350e-01,5.133300265875023749e-02,7.954015270196830578e-02,7.954015270196830578e-02
4.000000000000000000e+00,4.200000000000000000e+03,1.000000000000000000e+00,1.200000000000000000e+01,1.680000000000001270e+00,2.692829998575984110e-02,4.101179004380165610e-02,4.101179004380165610e-02
5.000000000000000000e+00,4.200000000000000000e+03,1.000000000000000000e+00,2.400000000000000000e+01,3.359999999999851550e+00,1.344939673836391229e-02,1.959990086841235934e-02,1.945110579918826396e-02
6.000000000000000000e+00,7.600000000000000000e+03,1.000000000000000000e+00,6.000000000000000000e+00,8.400000000000006350e-01,3.931330499483152302e-02,6.049816722315862899e-02,6.049816722315862899e-02
7.000000000000000000e+00,7.600000000000000000e+03,1.000000000000000000e+00,1.200000000000000000e+01,1.680000000000001270e+00,1.924150653205265390e-02,2.887723696994040634e-02,2.887723696994040634e-02
8.000000000000000000e+00,7.600000000000000000e+03,1.000000000000000000e+00,2.400000000000000000e+01,3.359999999999851550e+00,8.815712288711686356e-03,1.266507387648795058e-02,1.260835265657307691e-02
9.000000000000000000e+00,1.800000000000000000e+03,2.000000000000000000e+00,6.000000000000000000e+00,8.400000000000006350e-01,7.216837571455031464e-02,1.102741959119778459e-01,1.090635987324441308e-01
1.000000000000000000e+01,1.800000000000000000e+03,2.000000000000000000e+00,1.200000000000000000e+01,1.680000000000001270e+00,4.279397568125174051e-02,6.658086244035814338e-02,6.658086244035814338e-02
1.100000000000000000e+01,1.800000000000000000e+03,2.000000000000000000e+00,2.400000000000000000e+01,3.359999999999851550e+00,2.481061513231721388e-02,3.642217693872203121e-02,3.614536697592776043e-02
1.200000000000000000e+01,4.200000000000000000e+03,2.000000000000000000e+00,6.000000000000000000e+00,8.400000000000006350e-01,5.150766422615114803e-02,7.973236244677577023e-02,7.973236244677577023e-02
1.300000000000000000e+01,4.200000000000000000e+03,2.000000000000000000e+00,1.200000000000000000e+01,1.680000000000001270e+00,2.703377523447121622e-02,4.115779967507465775e-02,4.115779967507465775e-02
1.400000000000000000e+01,4.200000000000000000e+03,2.000000000000000000e+00,2.400000000000000000e+01,3.359999999999851550e+00,1.349831618070455180e-02,1.966847293485270154e-02,1.952399138171368939e-02
1.500000000000000000e+01,7.600000000000000000e+03,2.000000000000000000e+00,6.000000000000000000e+00,8.400000000000006350e-01,3.942210999798199250e-02,6.063809950092363676e-02,6.063809950092363676e-02
1.600000000000000000e+01,7.600000000000000000e+03,2.000000000000000000e+00,1.200000000000000000e+01,1.680000000000001270e+00,1.930140821529656089e-02,2.896237809149788262e-02,2.896237809149788262e-02
1.700000000000000000e+01,7.600000000000000000e+03,2.000000000000000000e+00,2.400000000000000000e+01,3.359999999999851550e+00,8.843073305564155481e-03,1.270489871618392039e-02,1.264960403807793843e-02
