time_s,target_x,target_y,target_z,position_x,position_y,position_z,pd_x,pd_y,pd_z,position_error_m,pd_error_m,tau_base,tau_shoulder,tau_elbow
3.600000000000001810e-02,1.159999999999999920e+00,0.000000000000000000e+00,7.199999999999999734e-01,1.160452494419541347e+00,1.380495159469133669e-22,7.178284050513826786e-01,1.160060484495964550e+00,7.614898658585797162e-03,7.173826161594113460e-01,2.218237097466428231e-03,8.052393316508969778e-03,-6.623675822594940144e+00,-3.096464938028520208e+01,-2.762887877772443268e+00
7.200000000000005007e-02,1.159494214242351440e+00,1.271202671547430087e-02,7.199999999999999734e-01,1.160160614485250319e+00,5.387717451466377504e-03,7.165624466490777555e-01,1.159603759302944237e+00,1.836978730600688850e-02,7.149852089771792096e-01,8.118273740088131907e-03,7.561109972923793499e-03,-8.570433425962090013e+00,-3.082741703184053605e+01,-2.701355717683276758e+00
1.080000000000000820e-01,1.157980054709813356e+00,2.534368390515439814e-02,7.199999999999999734e-01,1.158917263045953217e+00,1.469365789223143343e-02,7.162630580304083505e-01,1.158023519835150505e+00,3.025748096182194827e-02,7.136679995717215563e-01,1.132546461852056499e-02,8.015080795285430340e-03,-9.467340731801787257e+00,-3.014446291622939711e+01,-2.440154608177805606e+00
1.440000000000001001e-01,1.155467094406465556e+00,3.781511016526478697e-02,7.199999999999999734e-01,1.156683028295648175e+00,2.578332982705777016e-02,7.163766999168218463e-01,1.155346012027810954e+00,4.242386909344424140e-02,7.129549210179962904e-01,1.262420440354505326e-02,8.419528351586241799e-03,-9.663311095918883709e+00,-2.989102090793899080e+01,-2.243159356415402428e+00
1.800000000000001321e-01,1.151971221076445229e+00,5.004745712355634923e-02,7.199999999999999734e-01,1.153451991871177196e+00,3.753244063794865942e-02,7.166585778348629754e-01,1.151627883845536715e+00,5.445319660632176595e-02,7.125756461762368099e-01,1.303776905253472423e-02,8.639991350953581811e-03,-9.601251803147427211e+00,-2.986014745468150267e+01,-2.069518242191504598e+00
2.160000000000001641e-01,1.147514536756513159e+00,6.196338794410256867e-02,7.199999999999999734e-01,1.149242832328684294e+00,4.939342249332071694e-02,7.170029483024138450e-01,1.146919548217148810e+00,6.619693117166826346e-02,7.123831042776057609e-01,1.303738301564542033e-02,8.734643671465341930e-03,-9.445591027712833210e+00,-2.993619602141249203e+01,-1.911061635578720441e+00
2.520000000000001683e-01,1.142125218039861112e+00,7.348756627567647193e-02,7.199999999999999734e-01,1.144083547316222971e+00,6.108452315275293698e-02,7.173640316596016087e-01,1.141266815753982922e+00,7.755386354844300001e-02,7.122968407841885341e-01,1.283038819971318162e-02,8.752730425361569117e-03,-9.224867654010015627e+00,-3.005827897616358158e+01,-1.763352941322493095e+00
2.880000000000002003e-01,1.135837337934618274e+00,8.454713255241910752e-02,7.199999999999999734e-01,1.138007717639445415e+00,7.244239719069736627e-02,7.177211354866421811e-01,1.134714742926359099e+00,8.843850272921716105e-02,7.122725524034304589e-01,1.250713355292425860e-02,8.724472921797035013e-03,-8.948068052514264181e+00,-3.019307547901813749e+01,-1.623926912073494933e+00
3.240000000000002323e-01,1.128690650443322285e+00,9.507216463547368823e-02,7.199999999999999734e-01,1.131053978164157758e+00,8.335700482841126857e-02,7.180639412321717652e-01,1.127310144434964467e+00,9.877454395929170794e-02,7.122857489312531820e-01,1.210696538252111626e-02,8.667357097074529504e-03,-8.619853821247248860e+00,-3.032181864070718191e+01,-1.491099120375508846e+00
3.600000000000002642e-01,1.120730339225316730e+00,1.049961198832601167e-01,7.199999999999999734e-01,1.123266019048586584e+00,9.374344009550431012e-02,7.183865124957913295e-01,1.119102952662768269e+00,1.084925050912552424e-01,7.123228286324390091e-01,1.164713769550885548e-02,8.591394342803053766e-03,-8.243190440289366094e+00,-3.043373432395862466e+01,-1.363521777723178730e+00
3.960000000000002962e-01,1.112006731931107995e+00,1.142562558554799657e-01,7.199999999999999734e-01,1.114692559027573138e+00,1.035299176048532777e-01,7.186849037445709465e-01,1.110146857451121960e+00,1.175286782196303670e-01,7.123761674071973360e-01,1.113541546687895484e-02,8.502394051899430857e-03,-7.820232651594228201e+00,-3.052253161149072014e+01,-1.240046488011152803e+00
4.320000000000003282e-01,1.102574982014755234e+00,1.227940269910252763e-01,7.199999999999999734e-01,1.105387209651723879e+00,1.126527757657882767e-01,7.189562207082630385e-01,1.100499516418217416e+00,1.258247077259402880e-01,7.124414127761474758e-01,1.057558867890388485e-02,8.403857684419892976e-03,-7.352771647179405790e+00,-3.058448389088182395e+01,-1.119713239002315674e+00
4.680000000000003602e-01,1.092494720035975808e+00,1.305554547518657793e-01,7.199999999999999734e-01,1.095408244389588504e+00,1.210545097001438641e-01,7.191982580518612167e-01,1.090222507129285034e+00,1.333274969658034825e-01,7.125159935350873219e-01,9.969923329010045229e-03,8.298043281162081203e-03,-6.842487894583094032e+00,-3.061737538127347946e+01,-1.001785238292669078e+00
5.040000000000003366e-01,1.081829676656547612e+00,1.374914688927457718e-01,7.199999999999999734e-01,1.084818297786324548e+00,1.286830996863092547e-01,7.194093630602326206e-01,1.079381120606308642e+00,1.399892839904784136e-01,7.125982999664833839e-01,9.320304519105905572e-03,8.186554243378741172e-03,-6.291098945764154848e+00,-3.061992485440369904e+01,-8.857889070879565452e-01
