time_s,target_x,target_y,target_z,kinematic_x,kinematic_y,kinematic_z,mujoco_x,mujoco_y,mujoco_z,kinematic_error_m,mujoco_error_m
2.400000000000000744e-02,1.179999999999999938e+00,0.000000000000000000e+00,7.199999999999999734e-01,1.180004580117695934e+00,0.000000000000000000e+00,7.199980377163380796e-01,1.180404780879851234e+00,-2.415351199339517281e-22,7.182783363484863681e-01,4.982773853879956995e-06,1.768607726330615826e-03
4.800000000000002875e-02,1.179551624527137577e+00,1.269701262761597192e-02,7.199999999999999734e-01,1.179542873146167237e+00,1.141315566785740775e-02,7.200000724051053291e-01,1.180519991573564020e+00,2.379145890312417584e-03,7.161057732580574653e-01,1.283886788245712333e-03,1.107073216472243514e-02
7.200000000000005007e-02,1.178208731892601779e+00,2.533076937700029160e-02,7.199999999999999734e-01,1.178278816933201245e+00,2.391569954075737844e-02,7.200005042490339457e-01,1.179818614298197010e+00,7.928422589457535807e-03,7.148009799619019500e-01,1.416804435561754656e-03,1.823357355074121250e-02
9.600000000000007139e-02,1.175978012319948585e+00,3.783832950752478996e-02,7.199999999999999734e-01,1.176146399082395266e+00,3.641418971749899730e-02,7.200004787329936651e-01,1.178245545863533250e+00,1.581982871776345737e-02,7.142395907107431663e-01,1.434060135589600550e-03,2.287221896930331094e-02
1.200000000000000927e-01,1.172870579141880309e+00,5.015738098376858189e-02,7.199999999999999734e-01,1.173139511430330018e+00,4.874293514096155605e-02,7.200000623893061391e-01,1.175794503162603366e+00,2.523526581806692648e-02,7.141791276805563582e-01,1.439785269370853164e-03,2.575934219988395765e-02
1.440000000000001001e-01,1.168901913434181372e+00,6.222655091094413116e-02,7.199999999999999734e-01,1.169270423412843041e+00,6.083023525438709112e-02,7.199992612310522899e-01,1.172467862699777541e+00,3.557732285759815372e-02,7.144363720172491883e-01,1.444125189482926841e-03,2.745635275003757009e-02
1.680000000000001215e-01,1.164091786889777547e+00,7.398571129157191506e-02,7.199999999999999734e-01,1.164558029550291307e+00,7.261490908867251903e-02,7.199980841237919593e-01,1.168275530472511647e+00,4.642609081331966481e-02,7.148878109576107809e-01,1.447924227485137020e-03,2.834026937198187365e-02
1.920000000000001428e-01,1.158464163317156403e+00,8.537627858013939475e-02,7.199999999999999734e-01,1.159025751961895168e+00,8.403821164569352797e-02,7.199965430384887011e-01,1.163234318957454771e+00,5.748370281200865239e-02,7.154518613760850743e-01,1.451143300139504403e-03,2.866070014420322998e-02
2.160000000000001641e-01,1.152047079253878836e+00,9.634150554337786443e-02,7.199999999999999734e-01,1.152701137782550456e+00,9.504329032302452629e-02,7.199946529704966958e-01,1.157367030897979543e+00,6.853425385847103368e-02,7.160744656418360776e-01,1.453679437843728543e-03,2.858242382584879129e-02
2.400000000000001854e-01,1.144872504289958570e+00,1.068267639721241224e-01,7.199999999999999734e-01,1.145615684220438357e+00,1.055753848875657652e-01,7.199924320824546697e-01,1.150701618759448319e+00,7.941693575209657352e-02,7.167193680953667378e-01,1.455446081348954045e-03,2.821417736251636069e-02
